recipient_name,uei,recipient_id
"INDUSTRIES FOR THE BLIND AND VISUALLY IMPAIRED, INC.",LHSBQKG97P89,72
"ABEL WOMACK, INC",QG1MF9L3ED75,73
THE SHERWIN-WILLIAMS COMPANY,GAJ1F3WQCWY5,74
"SPECIALTY COATINGS, INC.",QHHBK3MNDM76,75
DIME OIL CO,WNRCYA5MLZJ8,76
AVIATION GROUND EQUIPMENT CORP,ETZRQZ7X6C99,77
NSIBABA LLC,NGZ9ZUPTERF4,78
US ECO PRODUCTS CORP,SMJZB5VKMFD3,79
LIPIN DIETZ ASSOCIATES INC,ZL6ULQB6ZSF9,80
"LEARFIELD COMMUNICATIONS, LLC",JDMABEJDK8Y6,81
PERRY JOHNSON REGISTRARS INC,FBGGFQKXSGB7,82
MSA MUSIC INC,KD63JFQSHWC1,83
"AT&T ENTERPRISES, LLC",MNALR8D818N7,84
"TAYLORED MEDIA GROUP, LLC",P3LAADP17ZU3,85
"SUMMIT HANDLING SYSTEMS, INC",ZGNJHGBDK2U3,86
BOBSAITH LLC,NCWUJJXECDR3,87
"CONNECTICUT ASSOCIATION OF SCHOOLS, INC THE",VMWRWYKAQQQ1,88
UNIQUE TECHNOLOGY SYSTEMS LLC,M3XDXWTGJPV4,89
"NORTH AMERICAN RESCUE, LLC",JW8KVCGYPZL9,90
"SEAHORSE DEFENSE SUPPLY, LLC",M5BND58M2XM6,91
"J.E. FEDERAL ENTERPRISES, LLC.",H2LJN48V3KD4,92
AHA! INTERPRETING SOLUTIONS LLC,TLHEF1VFDT87,93
FIRE PROTECTION SERVICE CORP,MPVYFLBR7C74,94
MY NEXT CAREER PATH STAFFING LLC,X89MSRZPJL65,95
COMMUNICATIONS PROFESSIONALS INC.,JHU8EL7N1485,96
"CAPRICE ELECTRONICS, INC",MKZJBAQV2BM3,97
OWYHEE GROUP COMPANIES,NG3EKLN6BB31,98
"PREMIER & COMPANIES, INC.",CW8DULW78AZ4,99
LOGISTICS365 INC,XRT9FXKM4KJ3,100
