award_id,award_amount,total_outlays,start_date,end_date,naics_code,naics_description,psc_code,psc_description,description,fiscal_year,fiscal_quarter,record_hash,internal_id,generated_internal_id,agency_id,recipient_id
Z503,5927182.11,,2014-06-25,2023-10-20,,,,,"IGF::OT::IGF  F-5 DEPOT MAINTENANCE - FIRM-FIXED-PRICE, COST-PLUS-FIXED-FEE, COST REIMBURSEMENT, INDEFINITE-DELIVERY, INDEFINITE-QUANTITY CONTRACT FOR THE DEPOT MAINTENANCE SERVICES OF 44 NAVY AND MARINE CORPS RESERVE F-5N/F AIRCRAFT.  THE SERVICES WILL INCLUDE DEPOT LEVEL MAINTENANCE, AIRCRAFT INSPECTIONS, REPAIRS, OVERHAULS, EMERGENCY REPAIRS, MODIFICATIONS, ENGINEERING SUPPORT, AND PROCUREMENT OF STRUCTURAL COMPONENTS AS REQUIRED TO SUSTAIN THE F-5N/F AIRCRAFT.",2014,3,b7b262445d6a6db1,350817673,CONT_AWD_Z503_9700_N0001914D0022_9700,4,20
Z503,65658.84,,2014-04-08,2023-06-23,,,,,F/A-18 A-D AND E/F MODIFICATIONS,2014,3,dc94d7a6e0c0fbde,350817669,CONT_AWD_Z503_9700_N0001914D0001_9700,4,14
Z503,11291005.74,,2013-01-16,2024-01-26,,,,,T-34/T-44/T-6 CLS,2013,2,057e4d9d6764b7d1,350817666,CONT_AWD_Z503_9700_N0001913D0003_9700,4,17
Z503,318960.95,,2011-10-18,2022-06-23,,,,,O&A LABOR,2012,1,3a1fe082128a774c,350817661,CONT_AWD_Z503_9700_N0001911D0013_9700,4,14
Z502,63776671.37,,2014-04-22,2020-10-15,,,,,"F-5 DEPOT MAINTENANCE - FIRM-FIXED-PRICE, COST-PLUS-FIXED-FEE, COST REIMBURSEMENT, INDEFINITE-DELIVERY, INDEFINITE-QUANTITY CONTRACT FOR THE DEPOT MAINTENANCE SERVICES OF 44 NAVY AND MARINE CORPS RESERVE F-5N/F AIRCRAFT.  THE SERVICES WILL INCLUDE DEPOT LEVEL MAINTENANCE, AIRCRAFT INSPECTIONS, REPAIRS, OVERHAULS, EMERGENCY REPAIRS, MODIFICATIONS, ENGINEERING SUPPORT, AND PROCUREMENT OF STRUCTURAL COMPONENTS AS REQUIRED TO SUSTAIN THE F-5N/F AIRCRAFT.",2014,3,55834406659a25eb,350817627,CONT_AWD_Z502_9700_N0001914D0022_9700,4,20
Z502,443067.09,,2011-10-11,2025-10-30,,,,,O&A LABOR,2012,1,9a4e1ea0d8115749,350817616,CONT_AWD_Z502_9700_N0001911D0013_9700,4,14
Z501,37389045.37,,2012-09-28,2013-06-30,,,,,TH-57 MAINTENANCE,2012,4,1bb2a7f844db987c,350817574,CONT_AWD_Z501_9700_N0001912D0003_9700,4,15
Z501,747500.0,,2011-12-07,2025-10-30,,,,,O&A LABOR,2012,1,c919af4661d5ddb6,350817571,CONT_AWD_Z501_9700_N0001911D0013_9700,4,14
Z3M0,0.0,,2017-09-08,2021-05-19,,,,,8504728948!ARM FLAPPER VALVE,2017,4,da4bc4c5f5522085,350814199,CONT_AWD_Z3M0_9700_SPRPA113G001X_9700,3,21
Z3DC,75827.96,,2015-05-20,2019-05-25,,,,,"8502024226!FAIRING SUPPORT,FUS",2015,3,da59973dc13c061a,350813371,CONT_AWD_Z3DC_9700_SPRPA111G001Y_9700,3,9
Z35J,116509.5,,2014-10-28,2023-11-20,,,,,"8501499581!SLEEVE AND SLIDE,DI",2015,1,a81332875f45b4b4,350811622,CONT_AWD_Z35J_9700_SPRPA113G001X_9700,3,21
YMP2,162000.0,,2009-10-06,2010-08-03,,,,,4512176897!ANTENNA,2010,1,055614135646a9aa,350773664,CONT_AWD_YMP2_9700_SPM4A109G0004_9700,3,22
YJ02,58845137.17,,2010-06-21,2014-06-30,,,,,LABOR,2010,3,d99c91468a5f5a51,350757056,CONT_AWD_YJ02_9700_W91QUZ06D0012_9700,4,23
YC20,1049999.61,,2014-09-17,2017-06-30,,,,,EQUIPMENT CHANGES/PRODUCT IMPROVEMENTS,2014,4,a78e2b1207359bf5,350749112,CONT_AWD_YC20_9700_N0002410G5342_9700,4,24
Y8ZA,48099.9,,2015-09-28,2024-03-08,,,,,"8502553342!SHAFT,SHOULDERED",2015,4,9bb1003241bfec03,350743735,CONT_AWD_Y8ZA_9700_SPRPA113G001X_9700,3,21
Y8P4,143545.2,,2016-07-29,2017-05-25,,,,,"8503470868!MANIFOLD,SEGMENT",2016,4,d156fc02e5327fce,350740639,CONT_AWD_Y8P4_9700_SPRTA114G0002_9700,3,25
Y87N,6328.45,,2007-12-27,2024-11-20,,,,,"4506362403!BAR,METAL",2008,1,f0d0298371dbfcd4,350733258,CONT_AWD_Y87N_9700_FA810305G0002_9700,3,26
Y874,40524.4,,2010-12-20,2012-04-09,,,,,"4516462831!CONNECTING LINK,RIG",2011,1,cea4106b26643410,350732671,CONT_AWD_Y874_9700_FA820005G9001_9700,3,27
Y801,1306200.0,,2009-07-08,2025-10-21,,,,,AIRFRAME STRUCTURAL COMPONENTS,2009,4,3d57f2950bbee995,350723313,CONT_AWD_Y801_9700_W58RGZ06D0225_9700,4,28
XKHH,85477.44,,2017-05-30,2022-10-31,,,,,"8504435578!SPAR,AIRCRAFT",2017,3,3dd02dd4122cd224,350685462,CONT_AWD_XKHH_9700_SPRPA114G002X_9700,3,29
XKGD,77065.56,,2017-05-10,2022-12-02,,,,,"8504374158!SPAR,AIRCRAFT",2017,3,3e20fa92d2a6f0c4,350685131,CONT_AWD_XKGD_9700_SPRPA114G002X_9700,3,29
XK92,193800.0,,2014-07-14,2017-01-30,,,,,"8501115430!BODY,VALVE",2014,4,f759cfb0112ccf53,350682707,CONT_AWD_XK92_9700_SPRPA113G001X_9700,3,21
XA59,44936.89,,2015-10-27,2017-04-28,,,,,"8502628359!74A324709-2015 SKIN, ACFT",2016,1,c8680223ddc3ba0f,350658679,CONT_AWD_XA59_9700_SPRPA111G002Z_9700,3,10
XA4A,439239.17,,2017-09-28,2022-11-30,,,,,8504766447!74A322800-1017  PANEL,2017,4,af7fabfb50a7bcc5,350658522,CONT_AWD_XA4A_9700_SPRPA115G001Z_9700,3,10
XA38,2648.47,,2016-02-24,2021-12-30,,,,,"8502969083!74A322702-2125 SKIN, L/H INNE",2016,2,dd77654cd98b2523,350658343,CONT_AWD_XA38_9700_SPRPA115G001Z_9700,3,10
X732,308239.27,,2009-09-29,2024-01-25,,,,,MISC SHIP & MARINE EQ ENGINEERING SERVICES,2009,4,3c88d223112c8c36,350651951,CONT_AWD_X732_9700_N0003009G0013_9700,4,30
WK02,12834340.68,,2013-04-08,2016-04-07,,,,,ENGINEERING AND INFORMATION SERVICES FOR USAFRICOM,2013,3,e709ecc364a319ed,350606482,CONT_AWD_WK02_9700_W91QUZ06D0014_9700,5,31
WE50,342106.8,,2017-03-21,2022-09-30,,,,,IGF::OT::IGF SITE 96 REMEDIAL DESIGN AND VAPOR INSTRUSION INVESTIGATION,2017,2,876bd15f2afa2b98,350598660,CONT_AWD_WE50_9700_N6247016D9000_9700,6,32
WE49,1648529.0,,2017-01-18,2026-09-30,,,,,IGF::OT::IGF IDIQ MULTIMEDIA ENVIRONMENTAL COMPLIANCE,2017,2,805321b803b8289d,350598609,CONT_AWD_WE49_9700_N6247014D9016_9700,6,33
WE43,1582604.71,,2016-09-21,2025-12-31,,,,,"IGF::OT::IGF INSTALLATION REMEDIATION (IR) PROGRAM SUPPORT SERVICES, BASEWIDE; INVESTIGATIONS, ASSESSMENTS, AND DECISION DOCUMENTS, VARIOUS SITES, AFETA CAMP PEARY, WILLIAMSBURG, VA",2016,4,efe9777e0117b3ad,350598473,CONT_AWD_WE43_9700_N6247016D9000_9700,6,32
WE31,3080692.0,,2017-05-26,2027-09-30,,,,,IGF::OT::IGF NWS EARLE FY17 BASEWIDE SUPPORT,2017,3,e19ff5cae18bebd4,350598169,CONT_AWD_WE31_9700_N6247016D9008_9700,6,34
WE30,1289773.0,,2017-05-25,2026-03-31,,,,,IGF::OT::IGF AMR AND RESTORATION SUPPORT,2017,3,a8a9fdb3ca5dc755,350598138,CONT_AWD_WE30_9700_N6247016D9008_9700,6,34
WE27,11454364.0,,2012-10-28,2025-06-30,,,,,"BASE PERIOD-CERCLA AND MCP SUPPORT, NAS SOUTH WEYMOUTH, MA",2013,1,f6710c27a57d898e,350598021,CONT_AWD_WE27_9700_N6247011D8013_9700,6,35
WE26,606135.0,,2016-07-12,2026-12-31,,,,,"IGF::OT::IGF SITE 20 REMEDIAL ACTION OPTIMIZATION, NAVAL STATION NORFOLK",2016,4,8dfac909fb3e683a,350598001,CONT_AWD_WE26_9700_N6247016D9000_9700,6,32
WE26,327432.0,,2012-08-08,2028-11-30,,,,,"PREPARE FOSTS AND PROVIDE REAL ESTATE SUPPORT FOR BRAC PARCELS, NAVSTA, NEWPORT, RI",2012,4,ca757370b7111da3,350597996,CONT_AWD_WE26_9700_N6247011D8013_9700,6,35
WE25,4310208.0,,2016-07-08,2026-12-30,,,,,"IGF::OT::IGF  NAVAL AIR STATION OCEANA MUNITIONS RESPONSE PROGRAM BASEWIDE SUPPORT VIRGINIA BEACH, VIRGINIA.",2016,4,a86df1a38e5d92a1,350597971,CONT_AWD_WE25_9700_N6247016D9000_9700,6,32
WE24,7255118.0,,2017-05-16,2028-04-30,,,,,"IGF::OT::IGF NWIRP BETHPAGE SITE 1, RE108 DESIGN AND CONSTRUCTION SUPPORT AND DESIGN GM-38 EXTRACTION WELL AND CONVEYANCE SYSTEM",2017,3,53f247709b438b10,350597946,CONT_AWD_WE24_9700_N6247016D9008_9700,6,34
WE22,2094282.0,,2017-05-30,2026-09-30,,,,,NEWPORT SITE 17 AND 19 GROUNDWATER SAMPLING IGF::OT::IGF,2017,3,f635edaa1f76d95c,350597888,CONT_AWD_WE22_9700_N6247016D9008_9700,6,34
WE22,809713.0,,2016-07-07,2025-09-30,,,,,IGF::OT::IGF  BASEWIDE PROJECT SUPPORT FOR JNTEXPBASE LITTLE CREEK FS VA,2016,4,59086cb138b2da07,350597887,CONT_AWD_WE22_9700_N6247016D9000_9700,6,32
WE20,832701.0,,2017-05-16,2027-09-30,,,,,IGF::OT::IGF  BEDFORD: BASEWIDE IR SUPPORT,2017,3,04f317107b0e191a,350597835,CONT_AWD_WE20_9700_N6247016D9008_9700,6,34
WE19,1672070.0,,2016-05-25,2025-09-30,,,,,"IGF::OT::IGF DATA GAP SAMPLING AND DECISION DOCUMENTS FOR VARIOUS SITES YORKTOWN, VA",2016,3,703b88b833c6c170,350597763,CONT_AWD_WE19_9700_N6247016D9000_9700,6,32
WE14,1116771.0,,2017-02-10,2027-09-30,,,,,IGF::OT::IGF LANDFILL INSPECTION AND O&M,2017,2,9aa21eba9fdfd089,350597590,CONT_AWD_WE14_9700_N6247016D9008_9700,6,34
WE13,6449771.0,,2016-11-16,2025-04-30,,,,,"IGF::OT::IGF NEWPORT SITE 8 SEDIMENT RAWP, NEWPORT, RI",2017,1,2f65fb8b44a5b480,350597552,CONT_AWD_WE13_9700_N6247016D9004_9700,6,36
WE12,3122561.0,,2016-10-28,2026-12-31,,,,,IGF::OT::IGF DAM NECK ANNEX MTMR-S EV REMOVAL ACTION TO SUPPORT P-815,2017,1,b1b1bec8d050e61c,350597492,CONT_AWD_WE12_9700_N6247016D9004_9700,6,36
WE10,279568.65,,2012-02-28,2020-09-30,,,,,"SERVICES FOR OU-4 SOIL REMEDIAL DESIGN TO INCLUDE REQUIRED DRAWINGS AND SPECIFICATIONS, PROJECT MANAGEMENT, DOCUMENT PREPARATIO",2012,2,08cccb3ba8a26fa1,350597400,CONT_AWD_WE10_9700_N6247011D8013_9700,6,35
WE08,3922240.0,,2016-09-01,2027-09-30,,,,,"BASE PERIOD IGF::OT::IGF  LSRP AND PFC SUPPORT FOR REDEVELOPMENT  THE PURPOSE OF THIS TASK ORDER IS FOR THE CONTRACTOR TO PROVIDE TECHNICAL SUPPORT TO THE NAVY AT THE FORMER NAVAL AIR WARFARE CENTER (NAWC), TRENTON IN EWING TOWNSHIP, NJ. THE TECHNICAL SUPPORT IS FOR STUDIES OF PERFLUORINATED COMPOUNDS, FOR FIVE YEAR REVIEW FOLLOW UP ITEMS, AND FOR REDEVELOPMENT EFFORTS AT NAWC TRENTON.",2016,4,4c7d9e1caf6edf32,350597319,CONT_AWD_WE08_9700_N6247016D9008_9700,6,34
WE07,1153585.25,,2013-07-30,2022-07-01,,,,,"IGF::OT::IGF ENVIRONMENTAL REMEDIAL ACTION CONTRACT SERVICES FOR LANDFILL CAP MAINTENANCE AND INSPECTION AT THE FORMER NAVAL STATION/SHIPYARD, PHILADELPHIA, PA.  BRAC PMO EAST.",2013,4,0c5e8805284f6bcd,350597259,CONT_AWD_WE07_9700_N6247013D8007_9700,6,37
WE06,578423.07,,2016-09-01,2024-09-30,,,,,IGF::OT::IGF NIROP FRIDLEY ANNUAL MONITORING REPORT AND OPTIMIZATION SUPPORT,2016,4,c59fafa5cbe8a855,350597224,CONT_AWD_WE06_9700_N6247016D9008_9700,6,34
WE06,892138.26,,2017-04-18,2024-11-01,,,,,IGF::OT::IGF STORMWATER OUTFALL AND BULKHEAK AE ORDER,2017,3,548044113d86ac0e,350597223,CONT_AWD_WE06_9700_N6247016D9007_9700,6,38
WE06,1492593.0,,2016-03-10,2024-07-15,,,,,"IGF::OT::IGF BASEWIDE ER''N PROJECT MANAGEMENT, FIVE YEAR REVIEW",2016,2,d7cf7f31c85aa0b5,350597220,CONT_AWD_WE06_9700_N6247016D9000_9700,6,32
WE05,5109626.25,,2016-08-30,2024-09-30,,,,,"IGF::OT::IGF RD SITE 2 NWIRP CALVERTON, NY",2016,4,2b252bfa56dbc244,350597169,CONT_AWD_WE05_9700_N6247016D9008_9700,6,34
WE04,31594763.0,,2016-08-16,2027-06-30,,,,,IGF::OT::IGF CERCLA AND REAL ESTATE SUPPORT,2016,4,b37b128c0cc1bce5,350597106,CONT_AWD_WE04_9700_N6247016D9008_9700,6,34
WE04,387652.27,,2012-02-17,2021-03-30,,,,,"BASE PERIOD -THE POA/CE (REVISION 1) FOR THE REMEDIAL ACTION COMPLETION REPORTS (RACRS) AND LAND USE CONTROL REMEDIAL DESIGNS (LUC RDS) AND FOR SITE ASSESSMENT SCREENING EVALUATIONS (SASES) AT SITES WITHIN THE NAVAL SUBMARINE BASE (NSB), NEW LONDON, CONNECTICUT.",2012,2,332601ec42ca4e93,350597083,CONT_AWD_WE04_9700_N6247011D8013_9700,6,35
WE02,4685866.11,,2012-09-17,2025-12-31,,,,,"ENVIRONMENTAL REMEDIAL ACTION CONTRACT - WE1 SITE 3 LANDFILL REMOVAL, 9TH STREET LANDFILL, NASJRB WILLOW GROVE, PA",2012,4,180e4e5331462fa2,350596942,CONT_AWD_WE02_9700_N6247012D7004_9700,6,39
WE01,3182748.0,,2016-02-16,2024-09-30,,,,,IGF::OT::IGF NAS OCEANA INVESTIGATION AND POSSIBLE EXPEDITED RESPONSE ACTIONS,2016,2,29d27ecfb24fdafc,350596847,CONT_AWD_WE01_9700_N6247016D9000_9700,6,32
WE01,2618873.0,,2016-06-30,2024-10-01,,,,,"IGF::OT::IGF A/E DESIGN SERVICES FOR P4040 MEDICAL CLINIC REPLACEMENT, MCB CAMP LEJEUNE, NC",2016,3,e146136929f2a470,350596846,CONT_AWD_WE01_9700_N6247016D6006_9700,6,40
WE01,630838.86,,2014-08-22,2017-09-01,,,,,"IGF::OT::IGF TWO (2) CONSTRUCTION ENGINEERING TECHNICIANS AND TWO (2) CONSTRUCTION MANAGERS AT ROICC ALBANY, MCLB ALBANY, GA",2014,4,9711f5b5598f8bff,350596750,CONT_AWD_WE01_9700_N0017812D6876_9700,6,41
WB79,783698.73,,2013-08-29,2024-01-25,,,,,UNITED STATES (US) AND UNITED KINGDOM (UK) STRATEGIC WEAPONS SYSTEM (SWS) SSBN FIRE CONTROL SUBSYSTEM AND SSGN ATTACK WEAPON CONTROL SYSTEM (AWCS) BASIC ORDERING AGREEMENT (BOA),2013,4,94f307c205a8517f,350586858,CONT_AWD_WB79_9700_N0003011G0022_9700,4,30
WB73,675496.94,,2015-04-23,2024-01-25,,,,,"SPARE PARTS (US) (UK) BASIC ORDERING AGREEMENT FOR OPERATIONAL AND ENGINEERING SUPPORT SERVICES, EQUIPMENT, AND SPARE PARTS FOR THE TRIDENT II STRATEGIC WEAPONS SYSTEM, FIRE CONTROL SUBSYSTEM (FCS), AND ATTACK WEAPONS CONTROL SYSTEM (AWCS).",2015,3,29282ecbaded9f62,350586775,CONT_AWD_WB73_9700_N0003013G0032_9700,4,30
WB72,1312729.27,,2015-09-01,2024-01-25,,,,,"SPARE PARTS (US) (UK) BASIC ORDERING AGREEMENT FOR OPERATIONAL AND ENGINEERING SUPPORT SERVICES, EQUIPMENT, AND SPARE PARTS FOR THE TRIDENT II STRATEGIC WEAPONS SYSTEM, FIRE CONTROL SUBSYSTEM (FCS), AND ATTACK WEAPONS CONTROL SYSTEM (AWCS).",2015,4,104852362e4ef0b7,350586758,CONT_AWD_WB72_9700_N0003013G0032_9700,4,30
WB62,959815.03,,2014-09-23,2024-01-25,,,,,"SPARE PARTS (US) (UK) BASIC ORDERING AGREEMENT FOR OPERATIONAL AND ENGINEERING SUPPORT SERVICES, EQUIPMENT, AND SPARE PARTS FOR THE TRIDENT II STRATEGIC WEAPONS SYSTEM, FIRE CONTROL SUBSYSTEM (FCS), AND ATTACK WEAPONS CONTROL SYSTEM (AWCS).",2014,4,0853806305317021,350586592,CONT_AWD_WB62_9700_N0003013G0032_9700,4,30
WB54,10249724.0,,2014-09-25,2021-08-30,,,,,"SPARE PARTS (US) (UK) BASIC ORDERING AGREEMENT FOR OPERATIONAL AND ENGINEERING SUPPORT SERVICES, EQUIPMENT, AND SPARE PARTS FOR THE TRIDENT II STRATEGIC WEAPONS SYSTEM, FIRE CONTROL SUBSYSTEM (FCS), AND ATTACK WEAPONS CONTROL SYSTEM (AWCS).",2014,4,15a1e00d1e5d0aec,350586462,CONT_AWD_WB54_9700_N0003013G0032_9700,4,30
WA54,48105758.2,,2011-10-01,2012-09-30,,,,,FLIGHT OPER,2012,1,7e672a8eb8af66d4,350584575,CONT_AWD_WA54_9700_N0001905D0023_9700,4,15
WA2E,2053.25,,2011-03-16,2011-03-31,,,,,COMP REPAIR,2011,2,1d751a584e7b92e2,350584146,CONT_AWD_WA2E_9700_N0001906D0017_9700,4,42
WA22,229573.63,,2011-10-03,2012-09-30,,,,,SAT SUPP,2012,1,64f1c1e86e7100a4,350584008,CONT_AWD_WA22_9700_N0001911D0014_9700,4,43
W91ZRU24P0015,69956.31,,2024-09-09,2024-12-31,,,,,86 INCH TOUCH SCREEN TV,2024,4,eef75ebc46f506ae,350581781,CONT_AWD_W91ZRU24P0015_9700_-NONE-_-NONE-,1,44
W91ZRU24P0014,14376.0,,2024-09-06,2025-01-06,,,,,THREE (3) PUNCHING MACHINES WITH CUSTOMIZABLE LOGOS AND GRAPHICS.,2024,4,956cbcd0340cfaf9,350581780,CONT_AWD_W91ZRU24P0014_9700_-NONE-_-NONE-,1,45
W91ZRU24P0013,7049.57,,2024-09-05,2025-06-30,,,,,VINYL WRAP FOR TWO RECRUITING STOREFRONTS LOCATED IN EAGLE RIVER AND WASILLA ALASKA.  VINYL WRAP IS CUSTOMIZABLE GRAPHICS FOR THE AKARNG RRB.,2024,4,c49b98996bcd1810,350581779,CONT_AWD_W91ZRU24P0013_9700_-NONE-_-NONE-,1,46
W91ZRU24P0012,14200.0,0.0,2024-08-13,2024-11-19,,,,,"REFURBISH AND UPDATE, UXVALIDATOR, SERIES II, ECCN 3A992.A PURSUANT TO SN 3X05100669.  REFURB SERVICE INCLUDES SOFTWARE/HARDWARE UPDATES, REPAIRS, CALIBRATION AND ACCEPTANCE TESTING TO ENSURE SET IS FUNCTIONING TO CURRENT DESIGN STANDARDS.",2024,4,10aa1c1a8bb18397,350581778,CONT_AWD_W91ZRU24P0012_9700_-NONE-_-NONE-,1,47
W91ZRU24P0011,109511.6,0.0,2024-08-21,2025-04-30,,,,,"ION 600 SFNE PORTABLE/ DESKTOP EXPLOSIVES AND NARCOTICS DETECTORS, SAMPLING WANDS, AND OPTIONAL INTEGRATED PRINTER, RUGGEDIZED CASE, SWABS, PENS, EXTENDED ON-SITE WARRANTY, AND OPERATOR TRAINING",2024,4,1e5d08c2183601b0,350581777,CONT_AWD_W91ZRU24P0011_9700_-NONE-_-NONE-,1,48
W91ZRU24P0010,199999.98,0.0,2024-10-01,2026-09-30,,,,,NON-COMMERCIAL SUSTAINING ANNOUNCEMENTS SERVICES FOR AKARNG RECRUITING AND RETENTION,2025,1,d93247d760c1c80c,350581776,CONT_AWD_W91ZRU24P0010_9700_-NONE-_-NONE-,1,49
W91ZRU24P0009,88000.0,0.0,2024-07-18,2025-08-20,,,,,SLING LOAD TRAINING BLOCKS AND HOIST RESEAT BLOCKS,2024,4,f6554bc7b17c26ed,350581775,CONT_AWD_W91ZRU24P0009_9700_-NONE-_-NONE-,1,50
