Date,Wells_Drilled,Completed_Wells,DUC_Count,Avg_Well_Cost_M,IP30_BOED,EUR_MBOE
2023-06-30 06:11:47.494951,41,50,279,8.996455967713985,1438.184102556039,731.4482517702473
2023-07-31 06:11:47.494951,62,54,292,8.907807710350724,1357.192654746368,477.4483511843003
2023-08-31 06:11:47.494951,53,52,259,7.0543775285393435,1454.8438750609555,534.4492814302873
2023-09-30 06:11:47.494951,60,48,177,7.439813433550582,1043.1607925354322,419.31590806126746
2023-10-31 06:11:47.494951,42,48,137,9.841971827197476,987.1179655325008,520.7466545466523
2023-11-30 06:11:47.494951,48,26,288,9.5693805725201,1104.8183774282793,663.5086376181983
2023-12-31 06:11:47.494951,79,51,143,8.723620828782861,973.6234915924622,719.4050095808825
2024-01-31 06:11:47.494951,71,29,191,6.331956442339762,1499.659545020696,443.0869047524871
2024-02-29 06:11:47.494951,36,53,239,7.479896168508791,1424.1125717844027,482.14952078826343
2024-03-31 06:11:47.494951,53,35,155,8.971574329342857,1429.7604994179862,466.25241044715665
2024-04-30 06:11:47.494951,36,30,230,5.752530401807233,964.5120024633804,548.6290773283749
2024-05-31 06:11:47.494951,36,58,278,5.959897837599336,1143.8625616915226,728.5469975703994
2024-06-30 06:11:47.494951,53,33,269,8.82405871533393,830.2579996803464,619.5232245261964
2024-07-31 06:11:47.494951,41,66,128,7.437992145237625,1106.9734876434482,557.1106036149824
2024-08-31 06:11:47.494951,66,44,292,8.493910447736855,1458.5249544393184,779.8948205436945
2024-09-30 06:11:47.494951,70,62,272,9.455090425419115,917.1968738402284,741.4142919057732
2024-10-31 06:11:47.494951,34,48,260,6.546694453736707,1327.387941167351,775.2869095660072
2024-11-30 06:11:47.494951,49,64,243,7.968562561744232,1271.1669410926913,426.36176623097344
2024-12-31 06:11:47.494951,32,65,282,5.315341714760316,820.485137250803,412.42028427183476
2025-01-31 06:11:47.494951,44,59,293,9.36133037732285,1342.2225222113493,555.9237654968252
2025-02-28 06:11:47.494951,53,53,221,9.50323391376432,1040.115720711045,490.5637422259558
2025-03-31 06:11:47.494951,59,34,247,7.5457412649550735,1203.522366692284,641.5137729659953
2025-04-30 06:11:47.494951,40,54,113,7.337664697989426,1045.2666896163905,722.7988809687488
2025-05-31 06:11:47.494951,49,45,282,7.247673121997568,897.1694759563738,764.2005379852945
2025-06-30 06:11:47.494951,45,57,148,6.7993836573737125,1467.1865734286057,454.3529237133913
2025-07-31 06:11:47.494951,67,50,271,7.273170181140811,842.2437365640986,669.5906933475868
2025-08-31 06:11:47.494951,48,27,220,5.2875276394453765,954.4210109612511,595.8105330614026
2025-09-30 06:11:47.494951,58,48,231,9.061746387952894,1380.5969185730369,523.4890869937568
2025-10-31 06:11:47.494951,37,27,232,7.97725829439735,830.8847883891214,542.8249239708396
2025-11-30 06:11:47.494951,62,27,196,6.3521647208482825,1036.8058679489736,784.10694331466
2025-12-31 06:11:47.494951,78,61,204,5.560639905875616,848.0458264917335,677.6489199004207
2026-01-31 06:11:47.494951,39,51,130,7.072036770078891,1229.818160424155,580.0814235382779
