cve_id,published,last_modified,cvss_v3,cvss_v2,severity,cwe_ids,description
CVE-2025-12685,2026-01-02T06:15:53.283,2026-01-02T22:15:43.727,6.5,,MEDIUM,,The WPBookit WordPress plugin through 1.0.7 lacks a CSRF check when deleting customers. This could allow an unauthenticated attacker to delete any customer through a CSRF attack.
CVE-2025-13153,2026-01-02T06:15:53.423,2026-01-02T22:15:43.860,6.1,,MEDIUM,,"The Logo Slider  WordPress plugin before 4.9.0 does not validate and escape some of its slider options before outputting them back in the dashboard, which could allow users with the contributor role and above to perform Stored Cross-Site Scripting attacks."
CVE-2025-13456,2026-01-02T06:15:53.530,2026-01-02T22:15:43.990,6.1,,MEDIUM,,"The ShopBuilder  WordPress plugin before 3.2.2 does not sanitise and escape a parameter before outputting it back in the page, leading to a Reflected Cross-Site Scripting which could be used against high privilege users such as admin."
CVE-2025-14072,2026-01-02T06:15:53.627,2026-01-09T13:58:47.983,5.3,,MEDIUM,,The Ninja Forms  WordPress plugin before 3.13.3 allows unauthenticated attackers to generate valid access tokens via the REST API which can then be used to read form submissions.
CVE-2025-15429,2026-01-02T06:15:53.733,2026-01-12T20:25:15.637,8.8,9.0,HIGH,"CWE-119,CWE-120",A security vulnerability has been detected in UTT 进取 512W 1.7.7-171114. Affected by this vulnerability is the function strcpy of the file /goform/formConfigCliForEngineerOnly. Such manipulation of the argument addCommand leads to buffer overflow. It is possible to launch the attack remotely. The exploit has been disclosed publicly and may be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15430,2026-01-02T06:15:53.923,2026-01-12T20:26:27.837,8.8,9.0,HIGH,"CWE-119,CWE-120",A vulnerability was detected in UTT 进取 512W 1.7.7-171114. Affected by this issue is the function strcpy of the file /goform/formFtpServerShareDirSelcet. Performing manipulation of the argument oldfilename results in buffer overflow. The attack can be initiated remotely. The exploit is now public and may be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15431,2026-01-02T06:15:54.113,2026-01-12T20:28:16.933,8.8,9.0,HIGH,"CWE-119,CWE-120",A flaw has been found in UTT 进取 512W 1.7.7-171114. This affects the function strcpy of the file /goform/formFtpServerDirConfig. Executing manipulation of the argument filename can lead to buffer overflow. The attack can be launched remotely. The exploit has been published and may be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15432,2026-01-02T07:15:46.840,2026-01-12T15:32:44.450,5.3,5.0,MEDIUM,CWE-22,A vulnerability has been found in yeqifu carRental up to 3fabb7eae93d209426638863980301d6f99866b3. This vulnerability affects the function downloadShowFile of the file /file/downloadShowFile.action of the component com.yeqifu.sys.controller.FileController. The manipulation of the argument path leads to path traversal. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. This product uses a rolling release model to deliver continuous updates. As a re
CVE-2025-15434,2026-01-02T07:15:47.200,2026-01-07T17:57:44.850,7.3,7.5,HIGH,"CWE-74,CWE-89",A vulnerability was detected in Yonyou KSOA 9.0. Affected is an unknown function of the file /kp/PrintZPYG.jsp. The manipulation of the argument zpjhid results in sql injection. It is possible to launch the attack remotely. The exploit is now public and may be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15435,2026-01-02T08:15:41.253,2026-01-07T17:58:15.003,7.3,7.5,HIGH,"CWE-74,CWE-89",A flaw has been found in Yonyou KSOA 9.0. Affected by this vulnerability is an unknown functionality of the file /worksheet/work_update.jsp. This manipulation of the argument Report causes sql injection. The attack can be initiated remotely. The exploit has been published and may be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15436,2026-01-02T08:15:41.550,2026-01-07T17:58:27.157,7.3,7.5,HIGH,"CWE-74,CWE-89",A vulnerability has been found in Yonyou KSOA 9.0. Affected by this issue is some unknown functionality of the file /worksheet/work_edit.jsp. Such manipulation of the argument Report leads to sql injection. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The vendor was contacted early about this disclosure but did not respond in any way.
CVE-2025-15437,2026-01-02T09:15:42.453,2026-01-02T16:45:26.640,3.5,4.0,LOW,"CWE-79,CWE-94",A vulnerability was found in LigeroSmart up to 6.1.24. This affects an unknown part of the component Environment Variable Handler. Performing manipulation of the argument REQUEST_URI results in cross site scripting. The attack may be initiated remotely. The exploit has been made public and could be used. Upgrading to version 6.1.26 and 6.3 is able to mitigate this issue. The patch is named 264ac5b2be5b3c673ebd8cb862e673f5d300d9a7. The affected component should be upgraded.
CVE-2026-0546,2026-01-02T09:15:42.917,2026-01-15T16:41:48.480,7.3,7.5,HIGH,"CWE-74,CWE-89,CWE-89",A vulnerability was determined in code-projects Content Management System 1.0. This impacts an unknown function of the file search.php. This manipulation of the argument Value causes sql injection. The attack is possible to be carried out remotely. The exploit has been publicly disclosed and may be utilized.
CVE-2026-0547,2026-01-02T10:15:41.510,2026-01-15T02:06:05.260,6.3,6.5,MEDIUM,"CWE-284,CWE-434,CWE-434",A vulnerability was found in PHPGurukul Online Course Registration up to 3.1. This issue affects some unknown processing of the file /admin/edit-student-profile.php of the component Student Registration Page. The manipulation of the argument photo results in unrestricted upload. The attack may be launched remotely. The exploit has been made public and could be used.
CVE-2026-0565,2026-01-02T14:15:52.880,2026-01-13T22:26:20.937,7.3,7.5,HIGH,"CWE-74,CWE-89,CWE-89",A weakness has been identified in code-projects Content Management System 1.0. This issue affects some unknown processing of the file /admin/delete.php. Executing manipulation of the argument del can lead to sql injection. The attack can be executed remotely. The exploit has been made available to the public and could be used for attacks.
CVE-2024-55374,2026-01-02T15:15:56.930,2026-01-12T15:27:42.607,5.3,,MEDIUM,CWE-203,REDCap 14.3.13 allows an attacker to enumerate usernames due to an observable discrepancy between login attempts.
CVE-2025-15438,2026-01-02T15:15:59.400,2026-01-02T16:45:26.640,4.7,5.8,MEDIUM,"CWE-20,CWE-502","A vulnerability was determined in PluXml up to 5.8.22. Affected is the function FileCookieJar::__destruct of the file core/admin/medias.php of the component Media Management Module. Executing manipulation of the argument File can lead to deserialization. The attack can be launched remotely. The exploit has been publicly disclosed and may be utilized. The vendor was informed early about this issue and announced that ""[w]e fix this issue in the next version 5.8.23"". A patch for it is ready."
CVE-2025-44013,2026-01-02T15:15:59.750,2026-01-05T20:22:54.760,6.5,,MEDIUM,CWE-476,"A NULL pointer dereference vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains a user account, they can then exploit the vulnerability to launch a denial-of-service (DoS) attack.

We have already fixed the vulnerability in the following versions:
QTS 5.2.6.3195 build 20250715 and later
QuTS hero h5.2.6.3195 build 20250715 and later"
CVE-2025-45286,2026-01-02T15:15:59.903,2026-01-07T17:25:41.737,6.1,,MEDIUM,CWE-80,A cross-site scripting (XSS) vulnerability in mccutchen httpbin v2.17.1 allows attackers to execute arbitrary web scripts or HTML via a crafted payload.
CVE-2025-47208,2026-01-02T15:16:00.017,2026-01-05T19:47:19.010,6.5,,MEDIUM,CWE-770,"An allocation of resources without limits or throttling vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains a user account, they can then exploit the vulnerability to prevent other systems, applications, or processes from accessing the same type of resource.

We have already fixed the vulnerability in the following versions:
QTS 5.2.6.3195 build 20250715 and later
QuTS hero h5.2.6.3195 build 20250715 and later"
CVE-2025-52426,2026-01-02T15:16:00.263,2026-01-05T20:22:31.720,4.9,,MEDIUM,CWE-476,"A NULL pointer dereference vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to launch a denial-of-service (DoS) attack.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-52430,2026-01-02T15:16:00.403,2026-01-05T20:22:10.533,4.9,,MEDIUM,CWE-476,"A NULL pointer dereference vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to launch a denial-of-service (DoS) attack.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-52431,2026-01-02T15:16:00.540,2026-01-05T20:21:44.410,4.9,,MEDIUM,CWE-476,"A NULL pointer dereference vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to launch a denial-of-service (DoS) attack.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-52863,2026-01-02T15:16:00.670,2026-01-05T20:13:45.397,8.1,,HIGH,CWE-120,"A buffer overflow vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains a user account, they can then exploit the vulnerability to modify memory or crash processes.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.0.3192 build 20250716 and later"
CVE-2025-52864,2026-01-02T15:16:00.827,2026-01-05T20:13:29.287,8.1,,HIGH,CWE-120,"A buffer overflow vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains a user account, they can then exploit the vulnerability to modify memory or crash processes.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.0.3192 build 20250716 and later"
CVE-2025-52872,2026-01-02T15:16:00.980,2026-01-05T20:13:07.703,8.1,,HIGH,CWE-120,"A buffer overflow vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains a user account, they can then exploit the vulnerability to modify memory or crash processes.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.0.3192 build 20250716 and later"
CVE-2025-53405,2026-01-02T15:16:01.120,2026-01-05T20:21:20.253,4.9,,MEDIUM,CWE-476,"A NULL pointer dereference vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to launch a denial-of-service (DoS) attack.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-53414,2026-01-02T15:16:01.253,2026-01-05T20:20:59.573,4.9,,MEDIUM,CWE-476,"A NULL pointer dereference vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to launch a denial-of-service (DoS) attack.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-53589,2026-01-02T15:16:01.390,2026-01-05T20:20:33.977,4.9,,MEDIUM,CWE-476,"A NULL pointer dereference vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to launch a denial-of-service (DoS) attack.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-53590,2026-01-02T15:16:01.523,2026-01-05T20:19:59.823,4.9,,MEDIUM,CWE-476,"A NULL pointer dereference vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to launch a denial-of-service (DoS) attack.

We have already fixed the vulnerability in the following version:
QTS 5.2.7.3256 build 20250913 and later"
CVE-2025-53591,2026-01-02T15:16:01.653,2026-01-05T20:10:06.780,6.5,,MEDIUM,CWE-134,"A use of externally-controlled format string vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to obtain secret data or modify memory.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-53592,2026-01-02T15:16:01.807,2026-01-05T20:19:26.977,6.5,,MEDIUM,CWE-476,"A NULL pointer dereference vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains a user account, they can then exploit the vulnerability to launch a denial-of-service (DoS) attack.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-53593,2026-01-02T15:16:02.540,2026-01-05T20:12:40.680,6.5,,MEDIUM,"CWE-121,CWE-787","A buffer overflow vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to modify memory or crash processes.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-53596,2026-01-02T15:16:02.687,2026-01-05T20:18:51.807,4.9,,MEDIUM,CWE-476,"A NULL pointer dereference vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to launch a denial-of-service (DoS) attack.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-54164,2026-01-02T15:16:02.827,2026-01-05T20:09:01.477,4.9,,MEDIUM,CWE-125,"An out-of-bounds read vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to obtain secret data.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-54165,2026-01-02T15:16:02.980,2026-01-05T20:08:32.683,4.9,,MEDIUM,CWE-125,"An out-of-bounds read vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to obtain secret data.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-54166,2026-01-02T15:16:03.107,2026-01-05T20:07:57.633,4.9,,MEDIUM,CWE-125,"An out-of-bounds read vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to obtain secret data.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
CVE-2025-57705,2026-01-02T15:16:03.243,2026-01-05T19:44:29.660,4.9,,MEDIUM,CWE-770,"An allocation of resources without limits or throttling vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to prevent other systems, applications, or processes from accessing the same type of resource.

We have already fixed the vulnerability in the following versions:
QTS 5.2.7.3256 build 20250913 and later
QuTS hero h5.2.7.3256 build 20250913 and later
QuTS hero h5.3.1.32"
CVE-2025-62857,2026-01-02T15:16:03.450,2026-01-05T20:30:08.450,6.1,,MEDIUM,CWE-79,"A cross-site scripting (XSS) vulnerability has been reported to affect QuMagie. The remote attackers can then exploit the vulnerability to bypass security mechanisms or read application data.

We have already fixed the vulnerability in the following version:
QuMagie 2.8.1 and later"
CVE-2025-65125,2026-01-02T15:16:03.673,2026-01-12T15:16:24.087,9.8,,CRITICAL,CWE-89,SQL injection in gosaliajainam/online-movie-booking 5.5 in movie_details.php allows attackers to gain sensitive information.
CVE-2025-11837,2026-01-02T16:15:48.403,2026-01-22T18:28:22.310,9.8,,CRITICAL,CWE-94,"An improper control of generation of code vulnerability has been reported to affect Malware Remover. The remote attackers can then exploit the vulnerability to bypass protection mechanism.

We have already fixed the vulnerability in the following version:
Malware Remover 6.6.8.20251023 and later"
CVE-2025-48721,2026-01-02T16:16:59.100,2026-01-06T13:59:54.243,6.5,,MEDIUM,"CWE-120,CWE-121","A buffer overflow vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to modify memory or crash processes.

We have already fixed the vulnerability in the following version:
QTS 5.2.8.3332 build 20251128 and later"
CVE-2025-52871,2026-01-02T16:16:59.427,2026-01-05T20:32:33.323,6.5,,MEDIUM,CWE-125,"An out-of-bounds read vulnerability has been reported to affect License Center. If a remote attacker gains a user account, they can then exploit the vulnerability to obtain secret data.

We have already fixed the vulnerability in the following version:
License Center 2.0.36 and later"
CVE-2025-53594,2026-01-02T16:16:59.567,2026-01-02T16:45:26.640,,,UNKNOWN,"CWE-22,CWE-59,CWE-367","A path traversal vulnerability has been reported to affect several product versions. If a local attacker gains a user account, they can then exploit the vulnerability to read the contents of unexpected files or system data.

We have already fixed the vulnerability in the following versions:
Qfinder Pro Mac 7.13.0 and later
Qsync for Mac 5.1.5 and later
QVPN Device Client for Mac 2.2.8 and later"
CVE-2025-53597,2026-01-02T16:16:59.727,2026-01-05T20:33:21.780,6.5,,MEDIUM,"CWE-121,CWE-787","A buffer overflow vulnerability has been reported to affect License Center. If a remote attacker gains an administrator account, they can then exploit the vulnerability to modify memory or crash processes.

We have already fixed the vulnerability in the following version:
License Center 2.0.36 and later"
CVE-2025-59380,2026-01-02T16:16:59.873,2026-01-06T13:58:34.420,4.9,,MEDIUM,CWE-22,"A path traversal vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to read the contents of unexpected files or system data.

We have already fixed the vulnerability in the following versions:
QTS 5.2.8.3332 build 20251128 and later
QuTS hero h5.2.8.3321 build 20251117 and later"
CVE-2025-59381,2026-01-02T16:17:00.020,2026-01-06T13:57:35.633,4.9,,MEDIUM,CWE-22,"A path traversal vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to read the contents of unexpected files or system data.

We have already fixed the vulnerability in the following versions:
QTS 5.2.8.3332 build 20251128 and later
QuTS hero h5.2.8.3321 build 20251117 and later"
CVE-2025-59384,2026-01-02T16:17:00.160,2026-01-22T18:23:46.007,7.5,,HIGH,CWE-22,"A path traversal vulnerability has been reported to affect Qfiling. The remote attackers can then exploit the vulnerability to read the contents of unexpected files or system data.

We have already fixed the vulnerability in the following version:
Qfiling 3.13.1 and later"
CVE-2025-59387,2026-01-02T16:17:00.293,2026-01-02T16:45:26.640,,,UNKNOWN,CWE-89,"An SQL injection vulnerability has been reported to affect MARS (Multi-Application Recovery Service). The remote attackers can then exploit the vulnerability to execute unauthorized code or commands.

We have already fixed the vulnerability in the following version:
MARS (Multi-Application Recovery Service) 1.2.1.1686 and later"
CVE-2025-59389,2026-01-02T16:17:00.433,2026-01-22T18:20:57.957,9.8,,CRITICAL,CWE-89,"An SQL injection vulnerability has been reported to affect Hyper Data Protector. The remote attackers can then exploit the vulnerability to execute unauthorized code or commands.

We have already fixed the vulnerability in the following versions:
Hyper Data Protector 2.2.4.1 and later"
CVE-2025-62840,2026-01-02T16:17:00.573,2026-01-02T16:45:26.640,,,UNKNOWN,CWE-209,"A generation of error message containing sensitive information vulnerability has been reported to affect HBS 3 Hybrid Backup Sync. If an attacker gains local network access, they can then exploit the vulnerability to read application data.

We have already fixed the vulnerability in the following version:
HBS 3 Hybrid Backup Sync 26.2.0.938 and later"
CVE-2025-62842,2026-01-02T16:17:00.710,2026-01-02T16:45:26.640,,,UNKNOWN,CWE-73,"An external control of file name or path vulnerability has been reported to affect HBS 3 Hybrid Backup Sync. If an attacker gains local network access, they can then exploit the vulnerability to read or modify files or directories.

We have already fixed the vulnerability in the following version:
HBS 3 Hybrid Backup Sync 26.2.0.938 and later"
CVE-2025-62852,2026-01-02T16:17:00.850,2026-01-06T13:56:14.357,6.5,,MEDIUM,"CWE-121,CWE-787","A buffer overflow vulnerability has been reported to affect several QNAP operating system versions. If a remote attacker gains an administrator account, they can then exploit the vulnerability to modify memory or crash processes.

We have already fixed the vulnerability in the following version:
QTS 5.2.8.3332 build 20251128 and later"
CVE-2025-67268,2026-01-02T16:17:00.990,2026-01-12T15:33:45.577,9.8,,CRITICAL,CWE-122,"gpsd before commit dc966aa contains a heap-based out-of-bounds write vulnerability in the drivers/driver_nmea2000.c file. The hnd_129540 function, which handles NMEA2000 PGN 129540 (GNSS Satellites in View) packets, fails to validate the user-supplied satellite count against the size of the skyview array (184 elements). This allows an attacker to write beyond the bounds of the array by providing a satellite count up to 255, leading to memory corruption, Denial of Service (DoS), and potentially a"
CVE-2025-67269,2026-01-02T16:17:01.100,2026-01-09T22:07:39.427,7.5,,HIGH,CWE-191,"An integer underflow vulnerability exists in the `nextstate()` function in `gpsd/packet.c` of gpsd versions prior to commit `ffa1d6f40bca0b035fc7f5e563160ebb67199da7`. When parsing a NAVCOM packet, the payload length is calculated using `lexer->length = (size_t)c - 4` without checking if the input byte `c` is less than 4. This results in an unsigned integer underflow, setting `lexer->length` to a very large value (near `SIZE_MAX`). The parser then enters a loop attempting to consume this massive"
CVE-2025-69284,2026-01-02T16:17:05.277,2026-01-02T16:45:26.640,4.3,,MEDIUM,CWE-284,"Plane is an an open-source project management tool. In plane.io, a guest user doesn't have a permission to access https[:]//app[.]plane[.]so/[:]slug/settings. Prior to Plane version 1.2.0, a problem occurs when the `/api/workspaces/:slug/members/` is accessible by guest and able to list of users on a specific workspace that they joined. Since the `display_name` in the response is actually the handler of the email, a malicious guest can still identify admin users' email addresses. Version 1.2.0 f"
CVE-2025-9110,2026-01-02T16:17:05.643,2026-01-06T13:55:15.713,7.5,,HIGH,CWE-497,"An exposure of sensitive system information to an unauthorized control sphere vulnerability has been reported to affect several QNAP operating system versions. The remote attackers can then exploit the vulnerability to read application data.

We have already fixed the vulnerability in the following versions:
QTS 5.2.8.3332 build 20251128 and later
QuTS hero h5.2.8.3321 build 20251117 and later
QuTS hero h5.3.1.3250 build 20250912 and later"
