flight_date,carrier,carrier_name,flight_num,origin,origin_city,origin_state,dest,dest_city,dest_state,crs_dep_time,dep_delay,arr_delay,cancelled,diverted,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,distance,flight_id
2024-01-01,WN,Southwest Airlines,173,MIA,Miami,FL,SEA,Seattle,WA,1450,35.0,36.0,0,0,,,,,32.0,1716,43
2024-01-01,B6,JetBlue Airways,5501,DEN,Denver,CO,SFO,San Francisco,CA,1545,6.0,11.0,0,0,,,,,,1800,44
2024-01-01,F9,Frontier Airlines,5847,JFK,New York,NY,LAX,Los Angeles,CA,2100,0.0,4.0,0,0,,,,,,1429,45
2024-01-01,AA,American Airlines,4818,ORD,Chicago,IL,PHX,Phoenix,AZ,1255,-3.0,-4.0,0,0,,,,,,1604,46
2024-01-01,UA,United Airlines,446,SFO,San Francisco,CA,PHX,Phoenix,AZ,2240,6.0,6.0,0,0,,,,,,1757,47
2024-01-01,F9,Frontier Airlines,9580,DEN,Denver,CO,ATL,Atlanta,GA,905,-3.0,-5.0,0,0,,,,,,2395,48
2024-01-01,B6,JetBlue Airways,5048,ORD,Chicago,IL,MIA,Miami,FL,2110,-9.0,-9.0,0,0,,,,,,2546,49
2024-01-01,NK,Spirit Airlines,8348,ATL,Atlanta,GA,LAX,Los Angeles,CA,515,-7.0,-12.0,0,0,,,,,,202,50
2024-01-01,B6,JetBlue Airways,7736,PHX,Phoenix,AZ,JFK,New York,NY,1925,39.0,31.0,0,0,,39.0,,,,2431,51
2024-01-01,NK,Spirit Airlines,3904,SFO,San Francisco,CA,JFK,New York,NY,1055,3.0,6.0,0,0,,,,,,718,52
2024-01-01,UA,United Airlines,653,ORD,Chicago,IL,SFO,San Francisco,CA,1910,96.0,147.0,0,0,,,55.0,,,2241,53
2024-01-01,WN,Southwest Airlines,299,LAX,Los Angeles,CA,PHX,Phoenix,AZ,2305,49.0,67.0,0,0,,,,10.0,,2404,54
2024-01-01,F9,Frontier Airlines,9307,JFK,New York,NY,MIA,Miami,FL,2110,63.0,65.0,0,0,,,37.0,,,1156,55
2024-01-01,DL,Delta Air Lines,9833,LAX,Los Angeles,CA,MIA,Miami,FL,1450,3.0,1.0,0,0,,,,,,220,56
2024-01-01,B6,JetBlue Airways,9097,DFW,Dallas,TX,ORD,Chicago,IL,1300,48.0,44.0,0,0,,37.0,,,,2621,57
2024-01-01,F9,Frontier Airlines,989,PHX,Phoenix,AZ,ATL,Atlanta,GA,1235,47.0,51.0,0,0,,,18.0,,,777,58
2024-01-01,AA,American Airlines,504,DEN,Denver,CO,MIA,Miami,FL,1840,2.0,6.0,0,0,,,,,,1135,59
2024-01-01,NK,Spirit Airlines,5996,DFW,Dallas,TX,MIA,Miami,FL,1020,-4.0,-5.0,0,0,,,,,,1156,60
2024-01-01,WN,Southwest Airlines,3178,PHX,Phoenix,AZ,ORD,Chicago,IL,1305,-2.0,-7.0,0,0,,,,,,736,61
2024-01-01,NK,Spirit Airlines,1193,LAX,Los Angeles,CA,DFW,Dallas,TX,2045,0.0,3.0,0,0,,,,,,2735,62
2024-01-01,F9,Frontier Airlines,1566,LAX,Los Angeles,CA,ATL,Atlanta,GA,1805,8.0,4.0,0,0,,,,,,672,63
2024-01-01,AS,Alaska Airlines,7983,JFK,New York,NY,LAX,Los Angeles,CA,2315,36.0,47.0,0,0,35.0,,,,,2809,64
2024-01-01,AS,Alaska Airlines,2300,LAX,Los Angeles,CA,SFO,San Francisco,CA,1835,-7.0,-11.0,0,0,,,,,,1641,65
2024-01-01,AA,American Airlines,9142,SFO,San Francisco,CA,JFK,New York,NY,2135,40.0,50.0,0,0,,29.0,,,,1004,66
2024-01-01,B6,JetBlue Airways,6298,DFW,Dallas,TX,ATL,Atlanta,GA,1245,6.0,2.0,0,0,,,,,,1649,67
2024-01-01,WN,Southwest Airlines,1165,JFK,New York,NY,PHX,Phoenix,AZ,1155,9.0,8.0,0,0,,,,,,1819,68
2024-01-01,UA,United Airlines,751,PHX,Phoenix,AZ,MIA,Miami,FL,2020,-9.0,-5.0,0,0,,,,,,2936,69
2024-01-01,AA,American Airlines,8547,ORD,Chicago,IL,SEA,Seattle,WA,1315,28.0,18.0,0,0,,18.0,,,,1587,70
2024-01-01,WN,Southwest Airlines,1327,JFK,New York,NY,DFW,Dallas,TX,1925,57.0,61.0,0,0,,27.0,,,,1376,71
2024-01-01,UA,United Airlines,4495,LAX,Los Angeles,CA,DEN,Denver,CO,750,2.0,0.0,0,0,,,,,,1340,72
2024-01-01,DL,Delta Air Lines,6686,ORD,Chicago,IL,ATL,Atlanta,GA,1850,13.0,9.0,0,0,,,,,,2225,73
2024-01-01,AS,Alaska Airlines,4708,SFO,San Francisco,CA,LAX,Los Angeles,CA,1930,22.0,36.0,0,0,,,,,19.0,1376,74
2024-01-01,NK,Spirit Airlines,3763,MIA,Miami,FL,ATL,Atlanta,GA,1125,-10.0,-7.0,0,0,,,,,,1983,75
2024-01-01,UA,United Airlines,1601,ATL,Atlanta,GA,MIA,Miami,FL,1830,9.0,6.0,0,0,,,,,,2724,76
2024-01-01,B6,JetBlue Airways,7479,LAX,Los Angeles,CA,ATL,Atlanta,GA,1700,2.0,-2.0,0,0,,,,,,2952,77
2024-01-01,DL,Delta Air Lines,7579,JFK,New York,NY,DEN,Denver,CO,2230,42.0,56.0,0,0,,41.0,,,,2030,78
2024-01-01,NK,Spirit Airlines,1337,JFK,New York,NY,SFO,San Francisco,CA,2050,-9.0,-4.0,0,0,,,,,,923,79
2024-01-01,F9,Frontier Airlines,5148,DEN,Denver,CO,LAX,Los Angeles,CA,1550,5.0,2.0,0,0,,,,,,2294,80
2024-01-01,AS,Alaska Airlines,9235,MIA,Miami,FL,SEA,Seattle,WA,2235,39.0,57.0,0,0,,32.0,,,,1835,81
2024-01-01,WN,Southwest Airlines,7353,DFW,Dallas,TX,JFK,New York,NY,2320,44.0,55.0,0,0,,,,,18.0,369,82
2024-01-01,F9,Frontier Airlines,4587,DEN,Denver,CO,SEA,Seattle,WA,1915,-1.0,-6.0,0,0,,,,,,1928,83
2024-01-01,UA,United Airlines,7252,ATL,Atlanta,GA,JFK,New York,NY,1155,-1.0,0.0,0,0,,,,,,841,84
2024-01-01,UA,United Airlines,8595,DFW,Dallas,TX,LAX,Los Angeles,CA,1815,-5.0,-3.0,0,0,,,,,,1920,85
2024-01-01,UA,United Airlines,5111,DFW,Dallas,TX,ORD,Chicago,IL,1800,-9.0,-4.0,0,0,,,,,,1636,86
2024-01-01,WN,Southwest Airlines,3273,DEN,Denver,CO,PHX,Phoenix,AZ,805,-9.0,-4.0,0,0,,,,,,2480,87
2024-01-01,AS,Alaska Airlines,2097,PHX,Phoenix,AZ,ORD,Chicago,IL,1535,10.0,15.0,0,0,,,,,,2484,88
2024-01-01,NK,Spirit Airlines,2230,ATL,Atlanta,GA,ORD,Chicago,IL,1235,-1.0,-3.0,0,0,,,,,,662,89
2024-01-01,WN,Southwest Airlines,8347,SFO,San Francisco,CA,MIA,Miami,FL,1110,-7.0,-9.0,0,0,,,,,,2155,90
2024-01-01,AA,American Airlines,6354,SFO,San Francisco,CA,DFW,Dallas,TX,1015,24.0,30.0,0,0,,,23.0,,,1980,91
2024-01-01,AA,American Airlines,2861,SFO,San Francisco,CA,ORD,Chicago,IL,845,10.0,15.0,0,0,,,,,,2985,92
2024-01-01,AA,American Airlines,2891,PHX,Phoenix,AZ,LAX,Los Angeles,CA,825,12.0,14.0,0,0,,,,,,312,93
2024-01-01,F9,Frontier Airlines,8892,JFK,New York,NY,ATL,Atlanta,GA,1230,10.0,7.0,0,0,,,,,,2358,94
2024-01-01,UA,United Airlines,1844,PHX,Phoenix,AZ,ORD,Chicago,IL,1905,5.0,3.0,0,0,,,,,,1508,95
2024-01-01,WN,Southwest Airlines,2711,ORD,Chicago,IL,LAX,Los Angeles,CA,1955,0.0,4.0,0,0,,,,,,1103,96
2024-01-01,NK,Spirit Airlines,7638,LAX,Los Angeles,CA,JFK,New York,NY,1200,28.0,37.0,0,0,,,,,20.0,652,97
2024-01-01,DL,Delta Air Lines,2045,JFK,New York,NY,LAX,Los Angeles,CA,1015,-1.0,4.0,0,0,,,,,,1896,98
2024-01-01,AS,Alaska Airlines,2634,DFW,Dallas,TX,LAX,Los Angeles,CA,850,2.0,6.0,0,0,,,,,,2543,99
2024-01-01,AA,American Airlines,2329,ORD,Chicago,IL,SFO,San Francisco,CA,1335,56.0,54.0,0,0,,,28.0,,,2721,100
2024-01-01,B6,JetBlue Airways,9519,ATL,Atlanta,GA,MIA,Miami,FL,2055,55.0,69.0,0,0,,49.0,,,,2131,101
2024-01-01,AA,American Airlines,2684,ORD,Chicago,IL,SEA,Seattle,WA,1240,14.0,17.0,0,0,,,,,,579,102
2024-01-01,WN,Southwest Airlines,1022,SFO,San Francisco,CA,LAX,Los Angeles,CA,515,44.0,42.0,0,0,,20.0,,,,1000,103
2024-01-01,AA,American Airlines,6250,PHX,Phoenix,AZ,MIA,Miami,FL,1810,7.0,9.0,0,0,,,,,,2259,104
2024-01-01,AS,Alaska Airlines,1543,SEA,Seattle,WA,JFK,New York,NY,805,12.0,9.0,0,0,,,,,,2644,105
2024-01-01,F9,Frontier Airlines,4655,DEN,Denver,CO,MIA,Miami,FL,1430,5.0,9.0,0,0,,,,,,2533,106
2024-01-01,B6,JetBlue Airways,420,SFO,San Francisco,CA,LAX,Los Angeles,CA,2255,15.0,19.0,0,0,,,,,,1338,107
2024-01-01,WN,Southwest Airlines,3678,PHX,Phoenix,AZ,ORD,Chicago,IL,710,-7.0,-9.0,0,0,,,,,,869,108
2024-01-01,B6,JetBlue Airways,6931,MIA,Miami,FL,ORD,Chicago,IL,2210,51.0,70.0,0,0,,,,,48.0,721,109
2024-01-01,F9,Frontier Airlines,6668,PHX,Phoenix,AZ,SFO,San Francisco,CA,1315,223.0,266.0,0,0,,,82.0,,,2996,110
2024-01-01,WN,Southwest Airlines,5353,ORD,Chicago,IL,JFK,New York,NY,700,-9.0,-11.0,0,0,,,,,,1336,111
2024-01-01,F9,Frontier Airlines,6829,LAX,Los Angeles,CA,MIA,Miami,FL,930,60.0,63.0,0,0,,,,,17.0,2809,112
2024-01-01,NK,Spirit Airlines,9952,LAX,Los Angeles,CA,DEN,Denver,CO,1135,6.0,1.0,0,0,,,,,,2402,113
2024-01-01,B6,JetBlue Airways,7979,SFO,San Francisco,CA,DFW,Dallas,TX,1650,0.0,1.0,0,0,,,,,,1127,114
2024-01-01,DL,Delta Air Lines,1824,ORD,Chicago,IL,ATL,Atlanta,GA,1210,11.0,16.0,0,0,,,,,,1908,115
2024-01-01,AS,Alaska Airlines,2401,MIA,Miami,FL,JFK,New York,NY,1425,-1.0,-2.0,0,0,,,,,,2540,116
2024-01-01,F9,Frontier Airlines,5068,SFO,San Francisco,CA,SEA,Seattle,WA,1145,4.0,-1.0,0,0,,,,,,791,117
2024-01-01,DL,Delta Air Lines,2083,SEA,Seattle,WA,JFK,New York,NY,930,-8.0,-9.0,0,0,,,,,,1890,118
2024-01-01,DL,Delta Air Lines,1658,JFK,New York,NY,SFO,San Francisco,CA,2300,34.0,44.0,0,0,,18.0,,,,2737,119
2024-01-01,B6,JetBlue Airways,8529,ORD,Chicago,IL,PHX,Phoenix,AZ,2315,42.0,45.0,0,0,,28.0,,,,765,120
2024-01-01,WN,Southwest Airlines,3457,SFO,San Francisco,CA,ORD,Chicago,IL,1705,131.0,113.0,0,0,,,,,92.0,1487,121
2024-01-01,F9,Frontier Airlines,1125,LAX,Los Angeles,CA,PHX,Phoenix,AZ,1140,106.0,166.0,0,0,,27.0,,,,2273,122
2024-01-01,UA,United Airlines,4188,LAX,Los Angeles,CA,DFW,Dallas,TX,2110,-10.0,-10.0,0,0,,,,,,2294,123
2024-01-01,F9,Frontier Airlines,4496,MIA,Miami,FL,ORD,Chicago,IL,850,-2.0,-1.0,0,0,,,,,,1394,124
2024-01-01,AS,Alaska Airlines,2422,ORD,Chicago,IL,DEN,Denver,CO,2140,5.0,0.0,0,0,,,,,,356,125
2024-01-01,WN,Southwest Airlines,3762,ORD,Chicago,IL,SEA,Seattle,WA,1615,-6.0,-10.0,0,0,,,,,,622,126
2024-01-01,WN,Southwest Airlines,3017,ATL,Atlanta,GA,DFW,Dallas,TX,1305,2.0,-3.0,0,0,,,,,,2299,127
2024-01-01,NK,Spirit Airlines,1927,DFW,Dallas,TX,SFO,San Francisco,CA,1305,21.0,33.0,0,0,,16.0,,,,2840,128
2024-01-01,WN,Southwest Airlines,1439,SEA,Seattle,WA,DEN,Denver,CO,1755,13.0,12.0,0,0,,,,,,959,129
2024-01-01,AS,Alaska Airlines,3480,ATL,Atlanta,GA,PHX,Phoenix,AZ,1340,9.0,5.0,0,0,,,,,,2890,130
2024-01-01,F9,Frontier Airlines,8513,JFK,New York,NY,PHX,Phoenix,AZ,1720,-9.0,-13.0,0,0,,,,,,1909,131
2024-01-01,DL,Delta Air Lines,475,SFO,San Francisco,CA,ATL,Atlanta,GA,1220,229.0,251.0,0,0,,,,,79.0,1143,132
2024-01-01,F9,Frontier Airlines,9905,DEN,Denver,CO,LAX,Los Angeles,CA,1235,67.0,91.0,0,0,,,54.0,,,1187,133
2024-01-01,WN,Southwest Airlines,1096,ORD,Chicago,IL,PHX,Phoenix,AZ,1055,2.0,4.0,0,0,,,,,,1741,134
2024-01-01,B6,JetBlue Airways,4802,SEA,Seattle,WA,ATL,Atlanta,GA,1635,5.0,10.0,0,0,,,,,,1213,135
2024-01-01,UA,United Airlines,2318,SEA,Seattle,WA,MIA,Miami,FL,1310,1.0,-4.0,0,0,,,,,,1955,136
2024-01-01,AS,Alaska Airlines,303,PHX,Phoenix,AZ,MIA,Miami,FL,1040,-5.0,-3.0,0,0,,,,,,2598,137
2024-01-01,NK,Spirit Airlines,1799,LAX,Los Angeles,CA,DEN,Denver,CO,1315,-2.0,-7.0,0,0,,,,,,1881,138
2024-01-01,UA,United Airlines,3841,SFO,San Francisco,CA,JFK,New York,NY,2345,13.0,11.0,0,0,,,,,,2026,139
2024-01-01,B6,JetBlue Airways,5388,SEA,Seattle,WA,DEN,Denver,CO,1235,228.0,287.0,0,0,,,,,61.0,2384,140
2024-01-01,AS,Alaska Airlines,9703,SEA,Seattle,WA,PHX,Phoenix,AZ,1855,-3.0,1.0,0,0,,,,,,2723,141
2024-01-01,B6,JetBlue Airways,8172,PHX,Phoenix,AZ,MIA,Miami,FL,800,-5.0,-7.0,0,0,,,,,,1161,142
2024-01-01,F9,Frontier Airlines,2996,LAX,Los Angeles,CA,ATL,Atlanta,GA,1520,-2.0,2.0,0,0,,,,,,857,143
2024-01-01,B6,JetBlue Airways,8855,SEA,Seattle,WA,PHX,Phoenix,AZ,1700,286.0,331.0,0,0,,221.0,,,,2687,144
2024-01-01,AS,Alaska Airlines,9112,MIA,Miami,FL,DFW,Dallas,TX,2045,15.0,18.0,0,0,,,,,,1646,145
2024-01-01,UA,United Airlines,2582,JFK,New York,NY,MIA,Miami,FL,2015,7.0,11.0,0,0,,,,,,1337,146
2024-01-01,WN,Southwest Airlines,8388,SEA,Seattle,WA,LAX,Los Angeles,CA,1835,17.0,7.0,0,0,,,16.0,,,1718,147
2024-01-01,B6,JetBlue Airways,8489,PHX,Phoenix,AZ,MIA,Miami,FL,1615,6.0,1.0,0,0,,,,,,2729,148
2024-01-01,AS,Alaska Airlines,4473,ORD,Chicago,IL,ATL,Atlanta,GA,1325,89.0,146.0,0,0,43.0,,,,,2268,149
2024-01-01,NK,Spirit Airlines,3920,DFW,Dallas,TX,DEN,Denver,CO,1635,12.0,11.0,0,0,,,,,,433,150
2024-01-01,B6,JetBlue Airways,3442,ATL,Atlanta,GA,DEN,Denver,CO,1410,39.0,56.0,0,0,,29.0,,,,936,151
2024-01-01,DL,Delta Air Lines,2972,DEN,Denver,CO,ORD,Chicago,IL,1030,14.0,13.0,0,0,,,,,,432,152
2024-01-01,B6,JetBlue Airways,2834,MIA,Miami,FL,SFO,San Francisco,CA,1240,55.0,73.0,0,0,40.0,,,,,572,153
2024-01-01,AS,Alaska Airlines,3884,ATL,Atlanta,GA,ORD,Chicago,IL,2015,8.0,8.0,0,0,,,,,,982,154
2024-01-01,F9,Frontier Airlines,9131,JFK,New York,NY,ORD,Chicago,IL,1625,5.0,2.0,0,0,,,,,,2776,155
2024-01-01,B6,JetBlue Airways,6229,LAX,Los Angeles,CA,JFK,New York,NY,1715,-5.0,-7.0,0,0,,,,,,825,156
2024-01-01,AA,American Airlines,3358,LAX,Los Angeles,CA,ATL,Atlanta,GA,1915,260.0,280.0,0,0,35.0,,,,,772,157
2024-01-01,NK,Spirit Airlines,9126,ORD,Chicago,IL,JFK,New York,NY,1245,8.0,9.0,0,0,,,,,,2296,158
2024-01-01,AS,Alaska Airlines,8705,PHX,Phoenix,AZ,LAX,Los Angeles,CA,915,15.0,12.0,0,0,,,,,,560,159
2024-01-01,WN,Southwest Airlines,6323,DEN,Denver,CO,MIA,Miami,FL,945,3.0,4.0,0,0,,,,,,2042,160
2024-01-01,AS,Alaska Airlines,1074,PHX,Phoenix,AZ,MIA,Miami,FL,1730,6.0,8.0,0,0,,,,,,1545,161
2024-01-01,NK,Spirit Airlines,9802,ORD,Chicago,IL,SFO,San Francisco,CA,2020,0.0,4.0,0,0,,,,,,2101,162
2024-01-01,UA,United Airlines,712,MIA,Miami,FL,DEN,Denver,CO,805,202.0,213.0,0,0,,29.0,,,,1047,163
2024-01-01,WN,Southwest Airlines,3545,MIA,Miami,FL,SFO,San Francisco,CA,2110,12.0,16.0,0,0,,,,,,294,164
2024-01-01,DL,Delta Air Lines,7668,DEN,Denver,CO,SFO,San Francisco,CA,1630,9.0,5.0,0,0,,,,,,2017,165
2024-01-01,AS,Alaska Airlines,7031,ORD,Chicago,IL,MIA,Miami,FL,1820,39.0,43.0,0,0,,,18.0,,,2242,166
2024-01-01,AS,Alaska Airlines,7177,JFK,New York,NY,DFW,Dallas,TX,1735,8.0,7.0,0,0,,,,,,1364,167
2024-01-01,WN,Southwest Airlines,880,LAX,Los Angeles,CA,DFW,Dallas,TX,1840,-9.0,-11.0,0,0,,,,,,2837,168
2024-01-01,F9,Frontier Airlines,2983,DEN,Denver,CO,SFO,San Francisco,CA,950,6.0,5.0,0,0,,,,,,1611,169
2024-01-01,WN,Southwest Airlines,2871,ATL,Atlanta,GA,PHX,Phoenix,AZ,2145,56.0,69.0,0,0,,,,,27.0,2126,170
2024-01-01,AA,American Airlines,5108,DEN,Denver,CO,JFK,New York,NY,915,2.0,4.0,0,0,,,,,,2179,171
2024-01-01,AS,Alaska Airlines,2485,ATL,Atlanta,GA,SFO,San Francisco,CA,2255,0.0,-2.0,0,0,,,,,,2088,172
2024-01-01,WN,Southwest Airlines,380,PHX,Phoenix,AZ,DEN,Denver,CO,2315,29.0,30.0,0,0,,,18.0,,,2052,173
2024-01-01,DL,Delta Air Lines,5736,LAX,Los Angeles,CA,MIA,Miami,FL,1305,26.0,41.0,0,0,,22.0,,,,1922,174
2024-01-01,UA,United Airlines,1041,ATL,Atlanta,GA,SEA,Seattle,WA,1515,-10.0,-10.0,0,0,,,,,,901,175
2024-01-01,NK,Spirit Airlines,276,SFO,San Francisco,CA,ORD,Chicago,IL,1945,-8.0,-7.0,0,0,,,,,,2478,176
2024-01-01,WN,Southwest Airlines,9196,ATL,Atlanta,GA,SFO,San Francisco,CA,2150,13.0,9.0,0,0,,,,,,2855,177
2024-01-01,DL,Delta Air Lines,9188,SEA,Seattle,WA,MIA,Miami,FL,1650,-3.0,-6.0,0,0,,,,,,2700,178
2024-01-01,AS,Alaska Airlines,3323,MIA,Miami,FL,DEN,Denver,CO,2340,-8.0,-13.0,0,0,,,,,,2757,179
2024-01-01,AS,Alaska Airlines,4776,JFK,New York,NY,MIA,Miami,FL,2210,0.0,-1.0,0,0,,,,,,1229,180
2024-01-01,AS,Alaska Airlines,4041,MIA,Miami,FL,ORD,Chicago,IL,915,19.0,15.0,0,0,,,,17.0,,862,181
2024-01-01,WN,Southwest Airlines,9627,SEA,Seattle,WA,JFK,New York,NY,1935,-4.0,-7.0,0,0,,,,,,2670,182
2024-01-01,AA,American Airlines,7840,SFO,San Francisco,CA,PHX,Phoenix,AZ,1940,0.0,4.0,0,0,,,,,,1451,183
2024-01-01,F9,Frontier Airlines,9341,MIA,Miami,FL,JFK,New York,NY,2315,12.0,17.0,0,0,,,,,,2964,184
2024-01-01,NK,Spirit Airlines,8255,LAX,Los Angeles,CA,ATL,Atlanta,GA,815,,,1,0,,,,,,391,185
2024-01-01,DL,Delta Air Lines,9696,JFK,New York,NY,DEN,Denver,CO,1125,-1.0,-1.0,0,0,,,,,,2479,186
2024-01-01,DL,Delta Air Lines,6442,SFO,San Francisco,CA,DFW,Dallas,TX,1850,36.0,38.0,0,0,,36.0,,,,1091,187
2024-01-01,WN,Southwest Airlines,2579,LAX,Los Angeles,CA,JFK,New York,NY,1515,253.0,265.0,0,0,,91.0,,,,2762,188
2024-01-01,AA,American Airlines,821,SEA,Seattle,WA,ORD,Chicago,IL,1450,2.0,-1.0,0,0,,,,,,1616,189
2024-01-01,DL,Delta Air Lines,6179,ATL,Atlanta,GA,SEA,Seattle,WA,1545,8.0,4.0,0,0,,,,,,2034,190
2024-01-01,UA,United Airlines,8654,DFW,Dallas,TX,SEA,Seattle,WA,1025,44.0,41.0,0,0,,,36.0,,,2978,191
2024-01-01,DL,Delta Air Lines,8867,JFK,New York,NY,SEA,Seattle,WA,1630,41.0,42.0,0,0,,,33.0,,,905,192
