period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,value,value-units
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,Mountain,Mountain,10926,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,Pacific,Pacific,10926,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Arizona,Arizona,98510,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Central,Central,98510,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Eastern,Eastern,98508,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Mountain,Mountain,98510,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,Pacific,Pacific,98510,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,Arizona,Arizona,21258,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,Central,Central,21258,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,Eastern,Eastern,21260,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,Mountain,Mountain,21258,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,Pacific,Pacific,21258,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,Arizona,Arizona,298899,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,Central,Central,298899,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,Eastern,Eastern,289094,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,Mountain,Mountain,298899,megawatthours
2026-01-30,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,Pacific,Pacific,298899,megawatthours
2026-01-30,NYIS,New York Independent System Operator,COL,Coal,Arizona,Arizona,0,megawatthours
2026-01-30,NYIS,New York Independent System Operator,COL,Coal,Central,Central,0,megawatthours
2026-01-30,NYIS,New York Independent System Operator,COL,Coal,Eastern,Eastern,0,megawatthours
2026-01-30,NYIS,New York Independent System Operator,COL,Coal,Mountain,Mountain,0,megawatthours
2026-01-30,NYIS,New York Independent System Operator,COL,Coal,Pacific,Pacific,0,megawatthours
2026-01-30,NYIS,New York Independent System Operator,NG,Natural Gas,Arizona,Arizona,285662,megawatthours
2026-01-30,NYIS,New York Independent System Operator,NG,Natural Gas,Central,Central,285662,megawatthours
2026-01-30,NYIS,New York Independent System Operator,NG,Natural Gas,Eastern,Eastern,283618,megawatthours
2026-01-30,NYIS,New York Independent System Operator,NG,Natural Gas,Mountain,Mountain,285662,megawatthours
2026-01-30,NYIS,New York Independent System Operator,NG,Natural Gas,Pacific,Pacific,285662,megawatthours
2026-01-30,NYIS,New York Independent System Operator,NUC,Nuclear,Arizona,Arizona,82179,megawatthours
2026-01-30,NYIS,New York Independent System Operator,NUC,Nuclear,Central,Central,82179,megawatthours
2026-01-30,NYIS,New York Independent System Operator,NUC,Nuclear,Eastern,Eastern,82174,megawatthours
2026-01-30,NYIS,New York Independent System Operator,NUC,Nuclear,Mountain,Mountain,82179,megawatthours
2026-01-30,NYIS,New York Independent System Operator,NUC,Nuclear,Pacific,Pacific,82179,megawatthours
2026-01-30,NYIS,New York Independent System Operator,OIL,Petroleum,Arizona,Arizona,4385,megawatthours
2026-01-30,NYIS,New York Independent System Operator,OIL,Petroleum,Central,Central,4385,megawatthours
2026-01-30,NYIS,New York Independent System Operator,OIL,Petroleum,Eastern,Eastern,4385,megawatthours
2026-01-30,NYIS,New York Independent System Operator,OIL,Petroleum,Mountain,Mountain,4385,megawatthours
2026-01-30,NYIS,New York Independent System Operator,OIL,Petroleum,Pacific,Pacific,4385,megawatthours
2026-01-30,NYIS,New York Independent System Operator,OTH,Other,Arizona,Arizona,7742,megawatthours
2026-01-30,NYIS,New York Independent System Operator,OTH,Other,Central,Central,7742,megawatthours
2026-01-30,NYIS,New York Independent System Operator,OTH,Other,Eastern,Eastern,7736,megawatthours
2026-01-30,NYIS,New York Independent System Operator,OTH,Other,Mountain,Mountain,7742,megawatthours
2026-01-30,NYIS,New York Independent System Operator,OTH,Other,Pacific,Pacific,7742,megawatthours
2026-01-30,NYIS,New York Independent System Operator,SUN,Solar,Arizona,Arizona,0,megawatthours
2026-01-30,NYIS,New York Independent System Operator,SUN,Solar,Central,Central,0,megawatthours
2026-01-30,NYIS,New York Independent System Operator,SUN,Solar,Eastern,Eastern,0,megawatthours
2026-01-30,NYIS,New York Independent System Operator,SUN,Solar,Mountain,Mountain,0,megawatthours
2026-01-30,NYIS,New York Independent System Operator,SUN,Solar,Pacific,Pacific,0,megawatthours
2026-01-30,NYIS,New York Independent System Operator,WAT,Hydro,Arizona,Arizona,63257,megawatthours
2026-01-30,NYIS,New York Independent System Operator,WAT,Hydro,Central,Central,63257,megawatthours
2026-01-30,NYIS,New York Independent System Operator,WAT,Hydro,Eastern,Eastern,63007,megawatthours
2026-01-30,NYIS,New York Independent System Operator,WAT,Hydro,Mountain,Mountain,63257,megawatthours
2026-01-30,NYIS,New York Independent System Operator,WAT,Hydro,Pacific,Pacific,63257,megawatthours
2026-01-30,NYIS,New York Independent System Operator,WND,Wind,Arizona,Arizona,26686,megawatthours
2026-01-30,NYIS,New York Independent System Operator,WND,Wind,Central,Central,26686,megawatthours
2026-01-30,NYIS,New York Independent System Operator,WND,Wind,Eastern,Eastern,27192,megawatthours
2026-01-30,NYIS,New York Independent System Operator,WND,Wind,Mountain,Mountain,26686,megawatthours
2026-01-30,NYIS,New York Independent System Operator,WND,Wind,Pacific,Pacific,26686,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",COL,Coal,Arizona,Arizona,703294,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",COL,Coal,Central,Central,703294,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",COL,Coal,Eastern,Eastern,705484,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",COL,Coal,Mountain,Mountain,703294,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",COL,Coal,Pacific,Pacific,703294,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",NG,Natural Gas,Arizona,Arizona,1378679,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",NG,Natural Gas,Central,Central,1378679,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",NG,Natural Gas,Eastern,Eastern,1378741,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",NG,Natural Gas,Mountain,Mountain,1378679,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",NG,Natural Gas,Pacific,Pacific,1378679,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",NUC,Nuclear,Arizona,Arizona,807311,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",NUC,Nuclear,Central,Central,807311,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",NUC,Nuclear,Eastern,Eastern,807301,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",NUC,Nuclear,Mountain,Mountain,807311,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",NUC,Nuclear,Pacific,Pacific,807311,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",OIL,Petroleum,Arizona,Arizona,99342,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",OIL,Petroleum,Central,Central,99342,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",OIL,Petroleum,Eastern,Eastern,97892,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",OIL,Petroleum,Mountain,Mountain,99342,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",OIL,Petroleum,Pacific,Pacific,99342,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",OTH,Other,Arizona,Arizona,48697,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",OTH,Other,Central,Central,48697,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",OTH,Other,Eastern,Eastern,48615,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",OTH,Other,Mountain,Mountain,48697,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",OTH,Other,Pacific,Pacific,48697,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",SUN,Solar,Arizona,Arizona,61269,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",SUN,Solar,Central,Central,61269,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",SUN,Solar,Eastern,Eastern,61269,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",SUN,Solar,Mountain,Mountain,61269,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",SUN,Solar,Pacific,Pacific,61269,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",WAT,Hydro,Arizona,Arizona,31124,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",WAT,Hydro,Central,Central,31124,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",WAT,Hydro,Eastern,Eastern,31207,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",WAT,Hydro,Mountain,Mountain,31124,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",WAT,Hydro,Pacific,Pacific,31124,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",WND,Wind,Arizona,Arizona,61827,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",WND,Wind,Central,Central,61827,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",WND,Wind,Eastern,Eastern,58677,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",WND,Wind,Mountain,Mountain,61827,megawatthours
2026-01-30,PJM,"PJM Interconnection, LLC",WND,Wind,Pacific,Pacific,61827,megawatthours
2026-01-30,SWPP,Southwest Power Pool,COL,Coal,Arizona,Arizona,382895,megawatthours
2026-01-30,SWPP,Southwest Power Pool,COL,Coal,Central,Central,386675,megawatthours
2026-01-30,SWPP,Southwest Power Pool,COL,Coal,Eastern,Eastern,390102,megawatthours
2026-01-30,SWPP,Southwest Power Pool,COL,Coal,Mountain,Mountain,382895,megawatthours
2026-01-30,SWPP,Southwest Power Pool,COL,Coal,Pacific,Pacific,382895,megawatthours
2026-01-30,SWPP,Southwest Power Pool,NG,Natural Gas,Arizona,Arizona,244013,megawatthours
2026-01-30,SWPP,Southwest Power Pool,NG,Natural Gas,Central,Central,248075,megawatthours
2026-01-30,SWPP,Southwest Power Pool,NG,Natural Gas,Eastern,Eastern,252685,megawatthours
2026-01-30,SWPP,Southwest Power Pool,NG,Natural Gas,Mountain,Mountain,244013,megawatthours
2026-01-30,SWPP,Southwest Power Pool,NG,Natural Gas,Pacific,Pacific,244013,megawatthours
2026-01-30,SWPP,Southwest Power Pool,NUC,Nuclear,Arizona,Arizona,48813,megawatthours
2026-01-30,SWPP,Southwest Power Pool,NUC,Nuclear,Central,Central,48826,megawatthours
2026-01-30,SWPP,Southwest Power Pool,NUC,Nuclear,Eastern,Eastern,48825,megawatthours
2026-01-30,SWPP,Southwest Power Pool,NUC,Nuclear,Mountain,Mountain,48813,megawatthours
2026-01-30,SWPP,Southwest Power Pool,NUC,Nuclear,Pacific,Pacific,48813,megawatthours
2026-01-30,SWPP,Southwest Power Pool,OIL,Petroleum,Arizona,Arizona,119,megawatthours
2026-01-30,SWPP,Southwest Power Pool,OIL,Petroleum,Central,Central,119,megawatthours
2026-01-30,SWPP,Southwest Power Pool,OIL,Petroleum,Eastern,Eastern,119,megawatthours
2026-01-30,SWPP,Southwest Power Pool,OIL,Petroleum,Mountain,Mountain,119,megawatthours
2026-01-30,SWPP,Southwest Power Pool,OIL,Petroleum,Pacific,Pacific,119,megawatthours
2026-01-30,SWPP,Southwest Power Pool,OTH,Other,Arizona,Arizona,3812,megawatthours
2026-01-30,SWPP,Southwest Power Pool,OTH,Other,Central,Central,3912,megawatthours
2026-01-30,SWPP,Southwest Power Pool,OTH,Other,Eastern,Eastern,3930,megawatthours
2026-01-30,SWPP,Southwest Power Pool,OTH,Other,Mountain,Mountain,3812,megawatthours
2026-01-30,SWPP,Southwest Power Pool,OTH,Other,Pacific,Pacific,3812,megawatthours
2026-01-30,SWPP,Southwest Power Pool,SUN,Solar,Arizona,Arizona,6781,megawatthours
2026-01-30,SWPP,Southwest Power Pool,SUN,Solar,Central,Central,6864,megawatthours
2026-01-30,SWPP,Southwest Power Pool,SUN,Solar,Eastern,Eastern,6946,megawatthours
2026-01-30,SWPP,Southwest Power Pool,SUN,Solar,Mountain,Mountain,6781,megawatthours
2026-01-30,SWPP,Southwest Power Pool,SUN,Solar,Pacific,Pacific,6781,megawatthours
2026-01-30,SWPP,Southwest Power Pool,WAT,Hydro,Arizona,Arizona,17410,megawatthours
2026-01-30,SWPP,Southwest Power Pool,WAT,Hydro,Central,Central,17572,megawatthours
2026-01-30,SWPP,Southwest Power Pool,WAT,Hydro,Eastern,Eastern,17740,megawatthours
2026-01-30,SWPP,Southwest Power Pool,WAT,Hydro,Mountain,Mountain,17410,megawatthours
2026-01-30,SWPP,Southwest Power Pool,WAT,Hydro,Pacific,Pacific,17410,megawatthours
2026-01-30,SWPP,Southwest Power Pool,WND,Wind,Arizona,Arizona,267773,megawatthours
2026-01-30,SWPP,Southwest Power Pool,WND,Wind,Central,Central,255640,megawatthours
2026-01-30,SWPP,Southwest Power Pool,WND,Wind,Eastern,Eastern,243486,megawatthours
2026-01-30,SWPP,Southwest Power Pool,WND,Wind,Mountain,Mountain,267773,megawatthours
2026-01-30,SWPP,Southwest Power Pool,WND,Wind,Pacific,Pacific,267773,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",BAT,Battery storage,Arizona,Arizona,-9602,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",BAT,Battery storage,Central,Central,-12910,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",BAT,Battery storage,Eastern,Eastern,-15804,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",BAT,Battery storage,Mountain,Mountain,-9602,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",BAT,Battery storage,Pacific,Pacific,-6258,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",COL,Coal,Arizona,Arizona,182972,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",COL,Coal,Central,Central,181040,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",COL,Coal,Eastern,Eastern,179197,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",COL,Coal,Mountain,Mountain,182972,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",COL,Coal,Pacific,Pacific,184863,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Natural Gas,Arizona,Arizona,497489,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Natural Gas,Central,Central,487321,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Natural Gas,Eastern,Eastern,475274,megawatthours
